n,source_file,target_path,image_type,requested_ratio,actual_size,project_look
1,"Gemini_Generated_Image_n0t29tn0t29tn0t2.jpg",/images/case/signature-bangla-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",2912x1440,"Jute & Terracotta (Warm)"
2,"Gemini_Generated_Image_nujwz3nujwz3nujw.jpg",/images/case/signature-bangla-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",2752x1536,"Jute & Terracotta (Warm)"
3,"Gemini_Generated_Image_2o93qv2o93qv2o93.jpg",/images/case/signature-bangla-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",3168x1344,"Jute & Terracotta (Warm)"
4,"Gemini_Generated_Image_iqzq7kiqzq7kiqzq.jpg",/images/case/signature-bangla-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Jute & Terracotta (Warm)"
5,"Gemini_Generated_Image_o5706vo5706vo570.jpg",/images/case/signature-bangla-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Jute & Terracotta (Warm)"
6,"Gemini_Generated_Image_2yk6tm2yk6tm2yk6.jpg",/images/case/signature-bangla-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Jute & Terracotta — “before” grade"
7,"Gemini_Generated_Image_175cnv175cnv175c.jpg",/images/case/signature-bangla-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Jute & Terracotta — “before” grade"
8,"Gemini_Generated_Image_2ugcrx2ugcrx2ugc.jpg",/images/case/signature-bangla-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Jute & Terracotta — “before” grade"
9,"Gemini_Generated_Image_qwlksaqwlksaqwlk.jpg",/images/case/clothing-ecommerce-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",2752x1536,"Atelier Drape (Dark-warm)"
10,"Gemini_Generated_Image_djbv0ndjbv0ndjbv.jpg",/images/case/clothing-ecommerce-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",2752x1536,"Atelier Drape (Dark-warm)"
11,"Gemini_Generated_Image_eopoy3eopoy3eopo.jpg",/images/case/clothing-ecommerce-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",3168x1344,"Atelier Drape (Dark-warm)"
12,"Gemini_Generated_Image_74kkaj74kkaj74kk.jpg",/images/case/clothing-ecommerce-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Atelier Drape (Dark-warm)"
13,"Gemini_Generated_Image_9gpyip9gpyip9gpy.jpg",/images/case/clothing-ecommerce-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2560x1664,"Atelier Drape (Dark-warm)"
14,"Gemini_Generated_Image_dcau77dcau77dcau.jpg",/images/case/clothing-ecommerce-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Atelier Drape — “before” grade"
15,"Gemini_Generated_Image_d4kvb5d4kvb5d4kv.jpg",/images/case/clothing-ecommerce-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Atelier Drape — “before” grade"
16,"Gemini_Generated_Image_kjveslkjveslkjve.jpg",/images/case/clothing-ecommerce-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Atelier Drape — “before” grade"
17,"Gemini_Generated_Image_5lbtcc5lbtcc5lbt.jpg",/images/case/clinic-management-system-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",2752x1536,"Frosted Acrylic (Light)"
18,"Gemini_Generated_Image_i3bqxoi3bqxoi3bq.jpg",/images/case/clinic-management-system-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",3008x1408,"Frosted Acrylic (Light)"
19,"Gemini_Generated_Image_qg37pzqg37pzqg37.jpg",/images/case/clinic-management-system-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",3168x1344,"Frosted Acrylic (Light)"
20,"Gemini_Generated_Image_5q4sn95q4sn95q4s.jpg",/images/case/clinic-management-system-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2560x1664,"Frosted Acrylic (Light)"
21,"Gemini_Generated_Image_jqjfx3jqjfx3jqjf.jpg",/images/case/clinic-management-system-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Frosted Acrylic (Light)"
22,"Gemini_Generated_Image_i5u7m4i5u7m4i5u7.jpg",/images/case/clinic-management-system-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Frosted Acrylic — “before” grade"
23,"Gemini_Generated_Image_20bl1420bl1420bl.jpg",/images/case/clinic-management-system-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Frosted Acrylic — “before” grade"
24,"Gemini_Generated_Image_bwpjsnbwpjsnbwpj.jpg",/images/case/clinic-management-system-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Frosted Acrylic — “before” grade"
25,"Gemini_Generated_Image_9jbkis9jbkis9jbk.jpg",/images/case/garment-manufacturing-erp-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",2752x1536,"Graphite Mill (Dark)"
26,"Gemini_Generated_Image_g6cmlwg6cmlwg6cm.jpg",/images/case/garment-manufacturing-erp-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",2752x1536,"Graphite Mill (Dark)"
27,"Gemini_Generated_Image_da9ahqda9ahqda9a.jpg",/images/case/garment-manufacturing-erp-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",3168x1344,"Graphite Mill (Dark)"
28,"Gemini_Generated_Image_swn1ucswn1ucswn1.jpg",/images/case/garment-manufacturing-erp-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2560x1664,"Graphite Mill (Dark)"
29,"Gemini_Generated_Image_xo53ggxo53ggxo53.jpg",/images/case/garment-manufacturing-erp-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Graphite Mill (Dark)"
30,"Gemini_Generated_Image_bo9ibabo9ibabo9i.jpg",/images/case/garment-manufacturing-erp-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Graphite Mill — “before” grade"
31,"Gemini_Generated_Image_ls8d3jls8d3jls8d.jpg",/images/case/garment-manufacturing-erp-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Graphite Mill — “before” grade"
32,"Gemini_Generated_Image_16j9b016j9b016j9.jpg",/images/case/garment-manufacturing-erp-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Graphite Mill — “before” grade"
33,"Gemini_Generated_Image_2ukiss2ukiss2uki.jpg",/images/case/b2b-sales-crm-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",2752x1536,"Gallery Concrete (Light-neutral)"
34,"Gemini_Generated_Image_rd55ctrd55ctrd55.jpg",/images/case/b2b-sales-crm-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",2752x1536,"Gallery Concrete (Light-neutral)"
35,"Gemini_Generated_Image_b243i7b243i7b243.jpg",/images/case/b2b-sales-crm-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",3168x1344,"Gallery Concrete (Light-neutral)"
36,"Gemini_Generated_Image_yrd8nnyrd8nnyrd8.jpg",/images/case/b2b-sales-crm-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Gallery Concrete (Light-neutral)"
37,"Gemini_Generated_Image_un6a3sun6a3sun6a.jpg",/images/case/b2b-sales-crm-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Gallery Concrete (Light-neutral)"
38,"Gemini_Generated_Image_nqziq8nqziq8nqzi.jpg",/images/case/b2b-sales-crm-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Gallery Concrete — “before” grade"
39,"Gemini_Generated_Image_fgv4effgv4effgv4.jpg",/images/case/b2b-sales-crm-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Gallery Concrete — “before” grade"
40,"Gemini_Generated_Image_pjld02pjld02pjld.jpg",/images/case/b2b-sales-crm-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Gallery Concrete — “before” grade"
41,"Gemini_Generated_Image_84jphm84jphm84jp.jpg",/images/case/restaurant-pos-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",2752x1536,"Service Hours (Dark, in situ)"
42,"Gemini_Generated_Image_m3sw9fm3sw9fm3sw.jpg",/images/case/restaurant-pos-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",2752x1536,"Service Hours (Dark, in situ)"
43,"Gemini_Generated_Image_zgfav1zgfav1zgfa.jpg",/images/case/restaurant-pos-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",3168x1344,"Service Hours (Dark, in situ)"
44,"Gemini_Generated_Image_m4xjdym4xjdym4xj.jpg",/images/case/restaurant-pos-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Service Hours (Dark, in situ)"
45,"Gemini_Generated_Image_j5vxh6j5vxh6j5vx.jpg",/images/case/restaurant-pos-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Service Hours (Dark, in situ)"
46,"Gemini_Generated_Image_9egem49egem49ege.jpg",/images/case/restaurant-pos-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Service Hours — “before” grade"
47,"Gemini_Generated_Image_k10w8k10w8k10w8k.jpg",/images/case/restaurant-pos-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Service Hours — “before” grade"
48,"Gemini_Generated_Image_jitsdmjitsdmjits.jpg",/images/case/restaurant-pos-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Service Hours — “before” grade"
49,"Gemini_Generated_Image_plc561plc561plc5.jpg",/images/case/hrm-payroll-platform-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",2752x1536,"Paper & Shadow (Warm light)"
50,"Gemini_Generated_Image_4yzdrt4yzdrt4yzd.jpg",/images/case/hrm-payroll-platform-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",2752x1536,"Paper & Shadow (Warm light)"
51,"Gemini_Generated_Image_t57rpwt57rpwt57r.jpg",/images/case/hrm-payroll-platform-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",3168x1344,"Paper & Shadow (Warm light)"
52,"Gemini_Generated_Image_d8papnd8papnd8pa.jpg",/images/case/hrm-payroll-platform-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Paper & Shadow (Warm light)"
53,"Gemini_Generated_Image_qyje21qyje21qyje.jpg",/images/case/hrm-payroll-platform-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Paper & Shadow (Warm light)"
54,"Gemini_Generated_Image_kcvcstkcvcstkcvc.jpg",/images/case/hrm-payroll-platform-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Paper & Shadow — “before” grade"
55,"Gemini_Generated_Image_iqdk9giqdk9giqdk.jpg",/images/case/hrm-payroll-platform-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Paper & Shadow — “before” grade"
56,"Gemini_Generated_Image_a7xa64a7xa64a7xa.jpg",/images/case/hrm-payroll-platform-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Paper & Shadow — “before” grade"
57,"Gemini_Generated_Image_q905pwq905pwq905.jpg",/images/case/school-management-system-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",2752x1536,"Felt & Birch (Mid-neutral)"
